Year,Population,Variable
1960,180671000,"US Population"
1961,"183691000","US Population"
1962,"186538000","US Population"
1963,"189242000","US Population"
1964,"191889000","US Population"
1965,"194303000","US Population"
1966,"196560000","US Population"
1967,"198712000","US Population"
1968,"200706000","US Population"
1969,"202677000","US Population"
1970,"205052000","US Population"
1971,"207661000","US Population"
1972,"209896000","US Population"
1973,"211909000","US Population"
1974,"213854000","US Population"
1975,"215973000","US Population"
1976,"218035000","US Population"
1977,"220239000","US Population"
1978,"222585000","US Population"
1979,"225055000","US Population"
1980,"227726000","US Population"
1981,"229966000","US Population"
1982,"232188000","US Population"
1983,"234307000","US Population"
1984,"236348000","US Population"
1985,"238466000","US Population"
1986,"240651000","US Population"
1987,"242804000","US Population"
1988,"245021000","US Population"
1989,"247342000","US Population"
1990,"250132000","US Population"
1991,"253493000","US Population"
1992,"256894000","US Population"
1993,"260255000","US Population"
1994,"263436000","US Population"
1995,"266557000","US Population"
1996,"269667000","US Population"
1997,"272912000","US Population"
1998,"276115000","US Population"
1999,"279295000","US Population"
2000,"282384579","US Population"
2001,"285309019","US Population"
2002,"288104818","US Population"
2003,"290819634","US Population"
2004,"293463185","US Population"
2005,"296186216","US Population"
2006,"298995825","US Population"
2007,"302003917","US Population"
2008,"304797761","US Population"
2009,"307439406","US Population"
1960,"3042445758","World Population"
1961,"3083508955","World Population"
1962,"3139723532","World Population"
1963,"3209535906","World Population"
1964,"3280979442","World Population"
1965,"3350250014","World Population"
1966,"3420547733","World Population"
1967,"3490293234","World Population"
1968,"3562358631","World Population"
1969,"3637281889","World Population"
1970,"3712969501","World Population"
1971,"3790862584","World Population"
1972,"3867398556","World Population"
1973,"3943271426","World Population"
1974,"4017944003","World Population"
1975,"4090586151","World Population"
1976,"4161861439","World Population"
1977,"4233919881","World Population"
1978,"4306068862","World Population"
1979,"4381075661","World Population"
1980,"4453473910","World Population"
1981,"4536343846","World Population"
1982,"4616406697","World Population"
1983,"4697565583","World Population"
1984,"4777834524","World Population"
1985,"4859510682","World Population"
1986,"4943448890","World Population"
1987,"5029883265","World Population"
1988,"5116984580","World Population"
1989,"5203738890","World Population"
1990,"5291102471","World Population"
1991,"5374112146","World Population"
1992,"5459044019","World Population"
1993,"5541441772","World Population"
1994,"5622359524","World Population"
1995,"5703456064","World Population"
1996,"5783846531","World Population"
1997,"5862652295","World Population"
1998,"5940580694","World Population"
1999,"6017912783","World Population"
2000,"6094669571","World Population"
2001,"6171904482","World Population"
2002,"6249053946","World Population"
2003,"6325743111","World Population"
2004,"6402717607","World Population"
2005,"6479962284","World Population"
2006,6558066329,"World Population"
2007,6636826517,"World Population"
2008,6715207267,"World Population"
2009,6792892971,"World Population"
1960,445857000,"India Population"
1961,454946000,"India Population"
1962,464399526,"India Population"
1963,474255037,"India Population"
1964,484755786,"India Population"
1965,495736844,"India Population"
1966,506966654,"India Population"
1967,518502697,"India Population"
1968,530354276,"India Population"
1969,542531001,"India Population"
1970,555042800,"India Population"
1971,567843145,"India Population"
1972,581159491,"India Population"
1973,594732681,"India Population"
1974,608289965,"India Population"
1975,621911145,"India Population"
1976,635592992,"India Population"
1977,649103387,"India Population"
1978,662524021,"India Population"
1979,676277624,"India Population"
1980,690462195,"India Population"
1981,705308228,"India Population"
1982,720467366,"India Population"
1983,735902165,"India Population"
1984,752049159,"India Population"
1985,768318059,"India Population"
1986,784462082,"India Population"
1987,800754800,"India Population"
1988,817232570,"India Population"
1989,833833568,"India Population"
1990,850558120,"India Population"
1991,866924093,"India Population"
1992,882946109,"India Population"
1993,899226905,"India Population"
1994,915777189,"India Population"
1995,932416746,"India Population"
1996,948910783,"India Population"
1997,965334078,"India Population"
1998,981666198,"India Population"
1999,997892285,"India Population"
2000,1014003817,"India Population"
2001,1029991145,"India Population"
2002,1045845226,"India Population"
2003,1061557965,"India Population"
2004,1077116060,"India Population"
2005,1092502123,"India Population"
2006,1107777340,"India Population"
2007,1123003245,"India Population"
2008,1138162129,"India Population"
2009,1153237119,"India Population"
